id,eigenkapital_2014,loehne_und_gehaelter_2014,gesamtbezuege_2014,anzahl_vorstaende_2014,jahresueberschuss_2014,anmerkungen_2014,eigenkapital_2013,loehne_und_gehaelter_2013,gesamtbezuege_2013,anzahl_vorstaende_2013,jahresueberschuss_2013,anmerkungen_2013,sparkasse,vergebene_kredite_2014,notleidende_kredite_2014,npl_quote_2014,vergebene_unternehmenskredite_2014,notleidende_unternehmenskredite_2014,npl_quote_unternehmen_2014,vergebene_privatkredite_2014,notleidende_privatkredite_2014,npl_quote_privat_2014,vergebene_kredite_2013,notleidende_kredite_2013,npl_quote_2013,vergebene_unternehmenskredite_2013,notleidende_unternehmenskredite_2013,npl_quote_unternehmen_2013,vergebene_privatkredite_2013,notleidende_privatkredite_2013,npl_quote_privat_2013,mitarbeiter_2013,mitarbeiter_2014,bilanzsumme_2013,bilanzsumme_2014,verband,state
413,15065695.0,2170353.0,239000.0,2.0,276089.0,,14789606.0,2093320.0,237000.0,2.0,261177.0,,Sparkasse Battenberg,219600000.0,8629000.0,1.46,58940000.0,7400000.0,12.56,84369000.0,1229000.0,1.46,,,,,,,,,,63.0,65.0,181419000.0,186590000.0,SGVHT,Hessen
412,10766793.0,2215905.0,254000.0,2.9,245284.0,Horst Wanik schied am 30.11.2014 aus dem Vorstand aus. Aus diesem Grund ergibt sich eine Kommazahl bei den Vorständen.,10521509.0,2152780.0,260000.0,2.0,234476.0,,Stadtsparkasse Grebenstein,211000000.0,3300000.0,1.97,56300000.0,1600000.0,2.84,86200000.0,1700000.0,1.97,,,,,,,,,,64.0,62.0,183021150.0,188175000.0,SGVHT,Hessen
414,10746880.0,2082454.0,278000.0,2.0,299000.0,,10698130.0,1977189.0,260000.0,2.0,508843.0,,Stadtsparkasse Borken,176400000.0,4700000.0,1.75,32100000.0,3200000.0,9.97,85600000.0,1500000.0,1.75,,,,,,,,,,50.0,48.0,153026342.0,150669000.0,SGVHT,Hessen
409,14840761.0,2656571.0,291000.0,2.0,226827.0,,14613934.0,2585932.0,314000.0,2.0,218837.0,,Sparkasse Laubach-Hungen,284000000.0,8302700.0,1.57,82816800.0,7007700.0,8.46,82566200.0,1295000.0,1.57,,,,,,,,,,83.0,81.0,234616056.0,237848776.0,SGVHT,Hessen
411,12415637.0,2051864.0,291000.0,2.0,515000.0,,11900637.0,1969250.0,278000.0,2.0,515000.0,,Stadtsparkasse Schwalmstadt,220200000.0,3239000.0,0.3,56700000.0,3042000.0,5.37,65100000.0,197000.0,0.3,,,,,,,,,,48.0,48.0,197264262.0,193626000.0,SGVHT,Hessen
408,14587031.0,1984010.0,305000.0,2.0,85739.0,,14501292.0,1962386.0,308000.0,2.0,155995.0,Mitarbeiter: Keine Angaben zum Durchschnitt. Nur Anzahl Beschäftiger bis zum Bilanzstichtag.,Sparkasse Hohenwestedt,268600000.0,5225000.0,2.16,130103000.0,3711000.0,2.85,70221000.0,1514000.0,2.16,,,,,,,,,,49.0,47.0,249372000.0,239501000.0,SVSH,Schleswig-Holstein
405,15122209.0,3389379.0,315000.0,2.0,120461.0,,15026747.0,3125462.0,311000.0,2.0,148749.0,,Stadtsparkasse Haltern am See,338000000.0,5930000.0,0.58,76200000.0,5100000.0,6.69,144100000.0,830000.0,0.58,,,,,,,,,,109.0,109.0,292484177.0,295902299.0,SVWL,Nordrhein-Westfalen
370,24932325.0,5326131.0,319000.0,2.0,714083.0,,24456243.0,5129535.0,309000.0,2.0,955034.0,,Kreissparkasse Hildburghausen,582700000.0,10400000.0,3.93,93200000.0,8700000.0,9.33,43300000.0,1700000.0,3.93,,,,,,,,,,134.0,134.0,510183876.0,524671982.0,SGVHT,Thüringen
407,14992629.0,2663469.0,329000.0,2.0,339350.0,,14653280.0,2481059.0,330000.0,2.0,358985.0,,Sparkasse Geseke,317300000.0,5400000.0,2.52,117600000.0,2100000.0,1.79,130900000.0,3300000.0,2.52,,,,,,,,,,80.0,80.0,267073577.0,269011579.0,SVWL,Nordrhein-Westfalen
291,56949184.0,10705943.0,343000.0,2.0,1188276.0,,56010908.0,10210666.0,333000.0,2.0,1206394.0,,Sparkasse Unstrut-Hainich,1297500000.0,22900000.0,3.7,345500000.0,13200000.0,3.82,262500000.0,9700000.0,3.7,,,,,,,,,,295.0,290.0,1087600000.0,1122000000.0,SGVHT,Thüringen
