sparkasse,name,since,until,position,feste_bezuege,erfolgsabhaengige_bezuege,sonstige_bezuege,gesamtverguetung,anmerkungen,state,verband
Kreissparkasse Gelnhausen,Ole Schön,2014-12-01,2014-12-31,Mitglied,10000.0,0.0,0.0,10000.0,,Hessen,SGVHT
Kreissparkasse Gelnhausen,Werner Ehlers,2013-01-01,2013-01-31,Mitglied,14000.0,0.0,0.0,14000.0,,Hessen,SGVHT
Kreissparkasse Gelnhausen,Karl-Heinz Freisler,2013-01-01,2013-12-31,Mitglied,148000.0,0.0,0.0,148000.0,,Hessen,SGVHT
Kreissparkasse Gelnhausen,Horst Wanik,2014-12-01,2014-12-31,Vorsitzende(r),15000.0,0.0,0.0,15000.0,,Hessen,SGVHT
Kreissparkasse Gelnhausen,Karl-Heinz Freisler,2014-01-01,2014-12-31,Mitglied,154000.0,0.0,0.0,154000.0,,Hessen,SGVHT
Kreissparkasse Gelnhausen,Gerhard Kleespies,2013-01-01,2013-12-31,Vorsitzende(r),219000.0,0.0,0.0,219000.0,,Hessen,SGVHT
Kreissparkasse Gelnhausen,Gerhard Kleespies,2014-01-01,2014-11-30,Vorsitzende(r),222000.0,0.0,0.0,222000.0,,Hessen,SGVHT
Berliner Sparkasse,Dr. Johannes Evers,2013-12-31,2013-01-01,Vorsitzende(r),860000.0,105000.0,55000.0,1020000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Serge Demolière,2014-12-31,2014-01-01,Mitglied,1025000.0,0.0,32000.0,1057000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Serge Demolière,2013-12-31,2013-01-01,Mitglied,1025000.0,39000.0,31000.0,1095000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Tanja Müller-Ziegler,2014-12-31,2014-08-01,Mitglied,120000.0,0.0,11000.0,131000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Martin K. Müller,2013-04-03,2013-01-01,Mitglied,228000.0,56000.0,25000.0,309000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Volker Alt,2014-12-31,2014-04-16,Mitglied,340000.0,0.0,21000.0,361000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Patrick Tessmann,2013-12-31,2013-01-01,Mitglied,630000.0,21000.0,30000.0,681000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Hans Jürgen Kulartz,2014-12-31,2014-01-01,Mitglied,659000.0,0.0,46000.0,705000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Patrick Tessmann,2014-09-30,2014-01-01,Mitglied,722000.0,0.0,23000.0,745000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Hans Jürgen Kulartz,2013-12-31,2013-01-01,Mitglied,659000.0,66000.0,73000.0,798000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Jan Bettink,2013-12-31,2013-01-01,Mitglied,726000.0,30000.0,50000.0,806000.0,,Berlin,Sparkassenverband Berlin
Berliner Sparkasse,Dr. Johannes Evers,2014-12-31,2014-01-01,Vorsitzende(r),860000.0,0.0,52000.0,912000.0,,Berlin,Sparkassenverband Berlin
Stadtsparkasse Düsseldorf,Dr. Stefan Dahm,2014-09-01,2014-12-31,stellvertretendes Mitglied,100000.0,0.0,,103259.6,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Düsseldorf,Dr. Michael Meyer,2014-06-01,2014-12-31,Mitglied,233333.0,0.0,9084.36,242417.0,Bekommt noch eine Extra-Vergütung für Aufsichtsratmandat in Höhe von 250,Nordrhein-Westfalen,RSGV
Stadtsparkasse Düsseldorf,Karin-Brigitte Göbel,2013-01-01,2013-12-31,Mitglied,390000.0,0.0,15906.0,405906.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Düsseldorf,Andreas Goßmann,2013-01-01,2013-12-31,Mitglied,390000.0,0.0,17166.0,407166.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Düsseldorf,Dr. Martin van Gemmeren,2014-01-01,2014-12-31,Mitglied,400000.0,40000.0,0.0,440000.0,,Nordrhein-Westfalen,RSGV
Stadtsparkasse Düsseldorf,Karin-Brigitte Göbel,2014-01-01,2014-12-31,Mitglied,429000.0,39000.0,16308.11,484308.11,Bekommt noch eine Extra-Vergütung für Aufsichtsratmandat in Höhe von 71129,Nordrhein-Westfalen,RSGV
